,이름,리뷰 내용
3732,칼레오커피로스터스,"
          건국대학교병원 뒷쪽 큰 길가에 위치한 칼레오커피로스터스.맛있는 곳은 제품을 많이 놔두지 않는다. 그 만큼 자신이 있기 때문이다. 이 곳은 커피의 종류가 많지도 않고, 자리가 넓지도 않다. 하지만 들어왔을 때 느낄 수 있는 분위기 향은 내공이 있다.이 곳에서 바로 먹는 커피도 훌륭하지만, 커피 원두를 그대로 사와서 먹고 싶게 만드는 매력이 있는 곳이다. 이런 곳의 커피를 사면 맛있겠지? 라는 생각이 들고 사람을 모을 줄 아는 곳이다.커피를 대하는 태도도 손님들이 먹고 즐길 수 있는 마음도 모두 합이 맞을 거 같고, 커피의 따뜻함이 전해진다.작지만 강하다
        "
3733,칼레오커피로스터스,"
                              왕십리/성동
                              -
                              카페 / 디저트
                            "
3734,칼레오커피로스터스,"
                              송파/가락
                              -
                              카페 / 디저트
                            "
3735,칼레오커피로스터스,"
                              마포/공덕
                              -
                              카페 / 디저트
                            "
3736,칼레오커피로스터스,"
                              신사/압구정
                              -
                              카페 / 디저트
                            "
3737,칼레오커피로스터스,"""광진구 맛집 모아보기"""
3738,칼레오커피로스터스,"""망고플레이트 홀릭 '홍초'님의 초이스!"""
3739,칼레오커피로스터스,"
로스터리 카페
                    
플랫화이트
                    
건국대
                    
2020망고플레이트인기맛집
                    
"
3740,칼레오커피로스터스,대한민국 먹슐랭 가이드!
3741,칼레오커피로스터스,망고플레이트 앱 바로가기
3742,칼레오커피로스터스,"

"
3743,칼레오커피로스터스,망고플레이트 최신 버전 앱에서사용할 수 있는 기능입니다.
3744,칼레오커피로스터스,"
      망고플레이트 최신 버전 앱에서 사용할 수 있는 기능입니다.
    "
3745,칼레오커피로스터스,
3746,칼레오커피로스터스,리뷰를 삭제하시겠습니까?
3747,칼레오커피로스터스,"Eat, Share, Be Happy."
3748,칼레오커피로스터스,"

        망고플레이트 페이스북 계정으로 바로가기
      

        망고플레이트 인스타그램 계정으로 바로가기
      
"
3749,칼레오커피로스터스,"

          한국어
        

          English
        

          简体中文
        
"
3750,칼레오커피로스터스,"
          
          ㈜ 여기어때컴퍼니서울특별시 강남구 봉은사로 479, 479타워 11층대표이사: 정명훈사업자 등록번호: 742-86-00224 [사업자정보확인]통신판매업 신고번호: 2017-서울강남-01779고객센터: 02-565-5988
© 2021 MangoPlate Co., Ltd. All rights reserved.
"
3751,칼레오커피로스터스,최근 검색어가 없습니다.
3752,칼레오커피로스터스,"
          내가 둘러 본 식당이 이 곳에 순서대로 기록됩니다.
        "
3753,칼레오커피로스터스,격하게 가고싶다..
3754,칼레오커피로스터스,"
          식당의 ‘별’ 아이콘을 누르면 가고싶은 곳을 쉽게 저장할 수 있습니다.
        "
3755,칼레오커피로스터스,탈퇴한 계정은 복구가 불가능합니다.탈퇴 하시겠습니까?
3756,칼레오커피로스터스,
3757,칼레오커피로스터스,"
        전체 동의
      "
3758,칼레오커피로스터스,"
      망고플레이트 서비스 이용을 위해 다음의 약관에 동의해 주세요.
    "
3759,칼레오커피로스터스,로그인
3760,칼레오커피로스터스,"
       로그인 하면 가고싶은 식당을 저장할 수 있어요
      "
3761,칼레오커피로스터스,"

페이스북으로 계속하기


카카오톡으로 계속하기


Apple로 계속하기

"
3762,칼레오커피로스터스,"
간기

"
3763,칼레오커피로스터스,맛있다
3764,칼레오커피로스터스,"
            translation missing: ko.app_download_layer.description
          "
3765,칼레오커피로스터스,* IOS 버전은 준비 중입니다.
3766,칼레오커피로스터스,* Android 버전은 준비 중입니다.
3767,더뷔페,"
                    사진 더보기
                    
"
3768,더뷔페,"
                    사진 더보기
                    
"
3769,더뷔페,"
                    사진 더보기
                    
"
3770,더뷔페,"
                    사진 더보기
                    
"
3771,더뷔페,"
                    사진 더보기
                    
"
3772,더뷔페,그랜드 워커힐 서울
3773,더뷔페,가고싶다
3774,더뷔페,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
3775,더뷔페,"
                업데이트
                : 2020. 3. 9
              "
3776,더뷔페,"
          평일 디너로 갔습니다.음식 종류도 많고 맛도 너무 만족스러웠어요. 최근에 플레이버즈도 다녀왔는데 더뷔페가 훨씬 괜찮았어요. 해산물 기대 안 했는데 단새우랑 참치가 진짜 맛있었고 최고봉은 양갈비... 매접시마다 양갈비 있는거... 말 다했죠 ˃̵͈̑ᴗ˂̵͈̑ 메론도 너무 맛있었고 직원분들도 다 너무 친절해서 좋았습니다. 대접할 일 생길 때 오고 싶네요!
        "
3777,더뷔페,"
          분위기는  가격에 비하여  어수선하고 음식의 내용도 알차지못한거같습니다아쉬움이 많이 남는 시간이었습니다 가격을 내리던가 퀄리티를 높여주시던가해주시면 감사하겠습니다   부탁드립니다 
        "
3778,더뷔페,"
          주말 디너 이용. 대게랑 소고기 집중 공략. 부페는 참 좋은 곳이다. 눈치보지않고 먹고싶은걸 먹을 수 있다니... 당연한거겠지만 고기는 바로 나온걸 먹어야 맛있다. 후에는 조금 냄새가 있을수도.. 화분케이크도 너무 앙증. 특출나게 기억나는건 없지만 무난히 맛있게 먹었다.
        "
3779,더뷔페,"
          호텔뷔페 10개 정도 가본거 같은데, 그중에 제일 별로.12만 2천원이면 호텔뷔페 치고는 비싼편인데 일단 재료값을 엄청 아낀 느낌. 대게는 선동도 아닌 그냥 선어로 안팔린거 얼린 수준으로 최하급 쩐내남. 소고기도 질김. 회, 초밥등도 그냥 결혼식 뷔페수준.
        "
3780,더뷔페,"
           평일 디너 방문 / 이곳은 디저트만 클리어해도 뿌듯한 곳이라 할 수 있다.식사 뒤 모두가 딸기 그릇 한 가득. 저렴한 곳은 아니나 대부분 다 만족스러웠습니다.
        "
3781,더뷔페,"
          연어 좋아....육식 줄이는 입장에서 스테이크 조차 연어 스테이크라서 좀 호감. 근데 저 연어구이 맛이 그리 좋진 않은게 함정 ㅠㅠㅋㅋ 디저트류도 많고 한식 양식  종류별로 다양해서 좋다. 뷔페 휴업하지 않을 때쯤 사람들 적을 때 슬 먹고 왔는데 메뉴 받으러 갈때는 위생장갑에 마스끄 꼭꼭 끼도록 통제하는 인원이 있어서 나름 안심되더라. 테이블 간격만 좀 더 넓어도 더 좋을 듯. 지금은 운영할지 모르겠지만 다음에 또 방문해도 만족할만한 조식 뷔페라고 생각한다.
        "
3782,더뷔페,"
          0. 어쩌다 보니 처음 가는 호텔 뷔페. 1. 시국 단축 운영으로 2시간 안되는 시간이 배정 됩니다. 널널하네 생각했는데 막상 널널하지 않더라고요. 빠듯해요. 2. 결론부터 얘기하면 괜찮다. 이유는 두가지인데 첫번 째는 한식이 너무 잘되있는데 그럼에도 손이 안가. 이번 기회로 제가 얼마나 한식과 거리두기를 하고 있는지 깨 달았고요. 한식 좋아하시는 분들은 플러스 요인이겠죠. 두번째로는 뷔페랑 저랑 체질적으로 안맞는거 같아요. 자꾸 더 먹을 수 있는데 하면서 억지로 먹고 과한 포만감이 불쾌감을 줄 때 까지 먹고.. 뭐 그렇슴다. 가장 좋았던 파트는 일식이랑 디저트고요. 일식 아주 괜찮았는데요. 디저트는... 과일은 솔직히 너무 별로였고 베이커리 부분만 괜찮았습니다. 3. 추천 하고요. 근데 항상 뷔페와의 싸움에서 한번도 이겨본적이 없는 저는.. 그렇습니다. 
        "
3783,더뷔페,"
          아주 좋음
        "
3784,더뷔페,"
          더뷔페 조식이 맛있다는 얘기를 들어 기대했었는데 지금까지 가본 호텔 뷔페 중 손꼽는 맛이네요. 가짓수는 적지만 음식은 퀄리티가 있어요.특히 감자볶음, 별거 아닌데 진짜 맛있네요. 베이커리류가 좀 많은 편이고, 미역국도 짱. 투숙하면 할인되니 가격대비 훌륭합니다.
        "
3785,더뷔페,"
          워커힐 더 부페 꿀팁다 맛있으니까 왠만하면 한 종류씩 조금조금 다 먹어보기. 스테이크는 여기서 직접 드라이에이징 해서 주는데 JJMT, 양갈비도 와따임디저트 배는 꼭 남기기 - 디저트가 메인임 진짜그러면서도 아이스크림 먹을 배는 또 따로 챙기기 (쉽지 않음) 근데 젤라또 존맛탱구리JMT⏰이 모든걸 2시간 안에 해치우기-2부 시간 될 때 쯤이면 노래틀면서 식사 맛있게 하셨냐고 자꾸 물어봄  여유롭게 먹고싶으면 좀 늦지만 2부로!다 마치면? 남산만한 배 부여잡고 뒤뚱거리며 집으로 돌아가기. FLEX 성공
        "
3786,더뷔페,"
          카드사 프로모션으로 런치뷔페 무료 입장. 워커힐 특유의 여유로움이 함께하는 식사 장소
        "
3787,더뷔페,"
          이곳의 일식, 한식은 정말 완벽.
        "
3788,더뷔페,"
          대부분 맛있고 전반적인 분위기도 좋고 어시스트하는 직원들도 엄청많다. 거의 두세테이블 당 한명정도 있는 듯. 다만 음식 종류가 한정적인 느낌이 있다. 
        "
3789,더뷔페,"
           맛있게 먹었어요. 디저트 마카롱은 좀... 별로였내요.
"
3790,더뷔페,"
          요리중에는 드라이에이징 스테이크, 전복, 스시류 퀄리디가 좋고, 카시스크림 휘낭시에, 세종류 아이스크림(바닐라/초코/딸기)까지 훌륭하네요^^
        "
3791,더뷔페,"
                              중구
                              -
                              뷔페
                            "
3792,더뷔페,"
                              명동/남산
                              -
                              뷔페
                            "
3793,더뷔페,"
                              명동/남산
                              -
                              뷔페
                            "
3794,더뷔페,"
                              방배/반포/잠원
                              -
                              뷔페
                            "
3795,더뷔페,"""하나만 고르기 어려울땐? 뷔페로 가자!"""
3796,더뷔페,"""광진구 맛집 모아보기"""
3797,더뷔페,"
호텔뷔페
                    
아이와함께
                    
"
3798,더뷔페,대한민국 먹슐랭 가이드!
3799,더뷔페,망고플레이트 앱 바로가기
3800,더뷔페,"

"
3801,더뷔페,망고플레이트 최신 버전 앱에서사용할 수 있는 기능입니다.
3802,더뷔페,"
      망고플레이트 최신 버전 앱에서 사용할 수 있는 기능입니다.
    "
3803,더뷔페,
3804,더뷔페,리뷰를 삭제하시겠습니까?
3805,더뷔페,"Eat, Share, Be Happy."
3806,더뷔페,"

        망고플레이트 페이스북 계정으로 바로가기
      

        망고플레이트 인스타그램 계정으로 바로가기
      
"
3807,더뷔페,"

          한국어
        

          English
        

          简体中文
        
"
3808,더뷔페,"
          
          ㈜ 여기어때컴퍼니서울특별시 강남구 봉은사로 479, 479타워 11층대표이사: 정명훈사업자 등록번호: 742-86-00224 [사업자정보확인]통신판매업 신고번호: 2017-서울강남-01779고객센터: 02-565-5988
© 2021 MangoPlate Co., Ltd. All rights reserved.
"
3809,더뷔페,최근 검색어가 없습니다.
3810,더뷔페,"
          내가 둘러 본 식당이 이 곳에 순서대로 기록됩니다.
        "
3811,더뷔페,격하게 가고싶다..
3812,더뷔페,"
          식당의 ‘별’ 아이콘을 누르면 가고싶은 곳을 쉽게 저장할 수 있습니다.
        "
3813,더뷔페,탈퇴한 계정은 복구가 불가능합니다.탈퇴 하시겠습니까?
3814,더뷔페,
3815,더뷔페,"
        전체 동의
      "
3816,더뷔페,"
      망고플레이트 서비스 이용을 위해 다음의 약관에 동의해 주세요.
    "
3817,더뷔페,로그인
3818,더뷔페,"
       로그인 하면 가고싶은 식당을 저장할 수 있어요
      "
3819,더뷔페,"

페이스북으로 계속하기


카카오톡으로 계속하기


Apple로 계속하기

"
3820,더뷔페,"
Mangoplate

"
3821,더뷔페,
3822,더뷔페,"
            translation missing: ko.app_download_layer.description
          "
3823,더뷔페,* IOS 버전은 준비 중입니다.
3824,더뷔페,* Android 버전은 준비 중입니다.
3825,궤도에오르다,"
                    사진 더보기
                    
"
3826,궤도에오르다,"
                    사진 더보기
                    
"
3827,궤도에오르다,"
                    사진 더보기
                    
"
3828,궤도에오르다,"
                    사진 더보기
                    
"
3829,궤도에오르다,"
                    사진 더보기
                    
"
3830,궤도에오르다,본점
3831,궤도에오르다,가고싶다
3832,궤도에오르다,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
3833,궤도에오르다,"
                업데이트
                : 2018. 6. 18
              "
3834,궤도에오르다,"
          기본에 충실해서 더 맛있었던 핫도그였습니다. 들어가서 음식이 나오기까지는 꽤 시간이 걸렸습니다. 거의 문을 열었을 때 가서 준비하는 시간을 고려하더라도 핫도그라는 메뉴 특성상 시간이 많이 걸렸습니다. 하지만 그 아쉬움이 잊혀질 정도로 소세지의 굽기나 소스의 양과 같은 다양한 부분도 적당선을 잘 지켰다는 느낌이 들었습니다. 양은 간식에 적합한 양이지만, 맛있게 잘 먹을 수 있었던 음식점이었습니다.
        "
3835,궤도에오르다,"
          <광진구 투어 上>군자역 -> 어린이대공원역이이요에서 야끼돈부리 잘 먹고 또 길을 나섰습니다지하철 역 한 정거장 걸어가면 도착하는 궤도에 오르다 입니다베스트 메뉴가 두 가지 있는데 한 가지는 땅콩마요 소스가 들어간 메뉴라서 다른 베스트 메뉴인 스트라토로 단품 주문했습니다 (자고로 핫도그는 케첩 머스타드에 찝찌름한 맛으로 먹는다고 믿고 있습니다)포크와 칼을 같이 주시는데 전혀 필요가 없습니다 손으로 잡고 와구와구 입 주변에 빨갛고 노랗게 만들면서 먹습니다메뉴 구성이 클래식한 조합이다보니 특별함은 없고 어디에선가 먹어본 맛있는 핫도그 맛입니다근처에 살았다면 늦은 시간까지 일하고 퇴근하는 길에 들러서 핫도그에 맥주 한 잔 하면 괜찮겠다 싶었습니다하지만 저는 용인사람이므로 재방문 의사 : x
        "
3836,궤도에오르다,"
          요기 처음 생겼을때부터 가끔씩 갔었는데, 지금은 분점도 내시고 장사가 잘 되시나보당! 내 가게도 아닌데, 이럴때 괜시리 뿌듯하다^*^• 트로포 핫도그 세트 6700원 청양고추가 들어간 살짝 쏘는 맛이 있는 핫도그다. 근데 스테이크 소스가 들어가서 맵진 않다. 매콤햄!정도? *_* 피클도 들어가서 질리지않고 먹을 수 있다. 여기 소시지는 탱클탱클하니 맛있다. 빵도 폭신폭신 따뜻하다. 핫도그가 좀 커서 한입에 가-득 먹어야 하고 토핑이 흘려서 좀 불편하다. 컷팅 돼서 나와도 좋을 것 같다. • 더모 핫도그 세트 7700원 양파후레이크가 들어가서 바삭하니 고소하다. 체다치즈, 파마산 치즈 두가지 치즈가 들어가서 다양한 맛을 낸다. 머스타드와 할라피뇨까지 들어간게 내 기준 핫도그 정석 같았다ㅎ_ㅎ! 소시지는 좀 짭짤했다. 세트에는 음료와 감자튀김이 함께 나온다. 감자튀김은 케찹에 안 찍어 먹어도 될 정도로 시즈닝이 다 되어있었다!  세트로 먹으면 가벼운 한끼 가능 :-)
        "
3837,궤도에오르다,"
          제일 맛있는 핫도그집.미국식 핫도그를 파는 가게는 체인인 스태프 핫도그밖에 몰라서, 내 기준으로 여기가 제일 핫도그 맛있다!우선 수제 소세지를 그릴에 구운것만으로도 여기를 이길수 없다.. 너무 맛있다. 육즙이 줄줄 소세지는 통통해서 씹을때 톡터진다! 완전 강추! (핫도그 종류 다맛있고, 그냥 소스 끌리는거 아무나 드세요)
        "
3838,궤도에오르다,"
           핫도그집이라면 소세지의 퀄리티가 무엇보다 중요하다고 생각한다. 버거라면 패티가 중요하고 스시라면 횟감이 중요하듯. 소세지 수준이 꽤 아쉽다.      평가: 3.0/5.0 더욱이 7천원씩 주고먹는 핫도그라면 수제소세지는 아니더라도 그에 버금가는 육질의 소세지를 썻으면 어땠을까. #감자튀김 4.0/5.0 : 이곳은 감자튀김 맛집인듯 하다. 각종 향신료가 들어가 향긋하면서 살짝 스파이시하고 주문 즉시 튀겨 빠삭한 케이준프라이.. 아 정말 만족스러운 프라이이다. 다음에는 그냥 감자튀김만 먹으러 올지도... 
        "
3839,궤도에오르다,"
          탱글한 소시지에 물렁한 빵까지 완-벽했던 핫도그어린이대공원 옆에 두고 먹으니 마음은 어려지고 몸은 더 무거워진 기분 ㅎㅎㅎ핫도그를 굉장히 즐겨먹던 어린 시절부터 저만의 핫도그 철학이라면 무릇 소시지는 탄력있게 탱글거리며 뽀득이되 빵은 흐물거려 상호보완적인 시너지를 낼 것.. 또한 소스는 적당히 흥건하여 소시지를 촉촉히 하고 올라간 토핑은 바삭이는 식감으로 재미를 줄 것.. 그리고 이러한 제 핫-덕 철학과 아주 부합했습니다감튀도 제가 너무나도 좋아하는 안티-맥날 감튀 파파이스-프렌들리 감튀,, 넘 폭신보들짭짤하고 좋아요,,,
        "
3840,궤도에오르다,"
          사진을 이따위로 찍다니.. 언니 추천으로 배달 시켜 먹었는데 진짜 맛있다.한 입 먹는 순간 ‘와 진짜 맛있다.’ 절로 감탄이 나왔던 찐이다 찐~~~~~~~~~
        "
3841,궤도에오르다,"
          세상 맛있는 핫도그 ㅠㅠ 우연히 가게됐는데 너무 맛있어서 놀랐어요 마늘후레이크 이렇게 많이 뿌려주는 곳 처음봤어.. 인생 핫도그집이에요
        "
3842,궤도에오르다,"
          직접 가서 먹으면 더 맛있지만 배달로도 썩 괜찮았습니다. 패키징도 귀여워요 궤도에 오르다는 가게 이름과 어울리는 로켓 모양,, 
        "
3843,궤도에오르다,"
          소시지에 육즙이 많이 있어 맛있어요일반 마트에서 파는 소시지랑은 확실히 다르구요모든 수제  소시지라고 육가공 업체에서  만드는 소시지보다 뛰어난건 아니지만여기 소시지는 전문 육가공 업체에서 만든거랑 최소 비슷하거나 더 맛있습니다
        "
3844,궤도에오르다,"
          바오즈푸 먹으러 어린이대공원역 방문했다람브레이크 타임인지도 모르고 씐나게갔다람. 못 먹었다람.다시 검색해서 핫도그 가게 찾아왔다람매장은 테이블 네 개정도 수용할 수 있는 크기라서 사람 많을 땐 못 앉을 수도 있다람 떡볶이 맛있게 생겨서 주문하려고 했는데 재료가 없어서 못 먹었다람ㅠ그냥 핫도그 세트 두개 했다람 왼쪽이 스트라토 핫도그! 햄이 큼지막하고 치즈가 많이 올라가서 고소했다람. 다른 하나는 모더 핫도그인데 케찹소스는 안들어가고 다른소스 들어가는 데 기억이 안난다 그 위에 양파 후레이크도 듬뿍 얹어줘서 맛있었다람제로콜라 없는 게 쬐금 아쉬웠다람 그거 빼고는 다 만족스러웠다람 소스 빵 햄 다 맛있음! 치즈스틱은 따로 시킨 거 다람. 세트 포함 아니다람
        "
3845,궤도에오르다,"
          핫도그도 맛있고 서브메뉴도 맛있어요할라피뇨 콘샐러드가 느끼할때 딱 좋아요
        "
3846,궤도에오르다,"
          가격도 적절하고 맛있어요.소시지는 짜지않고 담백합니다감튀는 맘스터치랑 비슷한 맛입니다~여름 저녁에 드실분은 밖에서 시원하게 노을보면서 먹으면 꿀맛일듯
        "
3847,궤도에오르다,"
          소세지만 꼬치에 끼워서 파셨으면 맨날 사먹을 것 같다,,, 후문쪽에 있어서 맛있는 소세지 먹고싶을 때 가는 곳. 청양고추 올라간 핫도그는 겁먹은 것보단 덜 매워서 먹을만했다. 양이 매우 적으므로 2개 먹거나 감자튀김까지 먹어야 배가 찬다. 직원분들은 늘 친절하셔서 좋다! 맛있다-괜찮다 중 고민하다가 맛있다로!
        "
3848,궤도에오르다,"
          분위기도 좋고 맛도있었어요 마늘크림 짱짱
        "
3849,궤도에오르다,"
                              건대/군자/광진
                              -
                              철판 요리
                            "
3850,궤도에오르다,"
                              건대/군자/광진
                              -
                              한정식 / 백반 / 정통 한식
                            "
3851,궤도에오르다,"
                              건대/군자/광진
                              -
                              딤섬 / 만두
                            "
3852,궤도에오르다,"
                              건대/군자/광진
                              -
                              회 / 스시
                            "
3853,궤도에오르다,"""광진구 맛집 모아보기"""
3854,궤도에오르다,"""동물원도 있고 놀이동산도 있고! 맛집도 있고!"""
3855,궤도에오르다,"
소세지
                    
2021망고플레이트인기맛집
                    
2020망고플레이트인기맛집
                    
"
3856,궤도에오르다,대한민국 먹슐랭 가이드!
3857,궤도에오르다,망고플레이트 앱 바로가기
3858,궤도에오르다,"

"
3859,궤도에오르다,망고플레이트 최신 버전 앱에서사용할 수 있는 기능입니다.
3860,궤도에오르다,"
      망고플레이트 최신 버전 앱에서 사용할 수 있는 기능입니다.
    "
3861,궤도에오르다,
3862,궤도에오르다,리뷰를 삭제하시겠습니까?
3863,궤도에오르다,"Eat, Share, Be Happy."
3864,궤도에오르다,"

        망고플레이트 페이스북 계정으로 바로가기
      

        망고플레이트 인스타그램 계정으로 바로가기
      
"
3865,궤도에오르다,"

          한국어
        

          English
        

          简体中文
        
"
3866,궤도에오르다,"
          
          ㈜ 여기어때컴퍼니서울특별시 강남구 봉은사로 479, 479타워 11층대표이사: 정명훈사업자 등록번호: 742-86-00224 [사업자정보확인]통신판매업 신고번호: 2017-서울강남-01779고객센터: 02-565-5988
© 2021 MangoPlate Co., Ltd. All rights reserved.
"
3867,궤도에오르다,최근 검색어가 없습니다.
3868,궤도에오르다,"
          내가 둘러 본 식당이 이 곳에 순서대로 기록됩니다.
        "
3869,궤도에오르다,격하게 가고싶다..
3870,궤도에오르다,"
          식당의 ‘별’ 아이콘을 누르면 가고싶은 곳을 쉽게 저장할 수 있습니다.
        "
3871,궤도에오르다,탈퇴한 계정은 복구가 불가능합니다.탈퇴 하시겠습니까?
3872,궤도에오르다,
3873,궤도에오르다,"
        전체 동의
      "
3874,궤도에오르다,"
      망고플레이트 서비스 이용을 위해 다음의 약관에 동의해 주세요.
    "
3875,궤도에오르다,로그인
3876,궤도에오르다,"
       로그인 하면 가고싶은 식당을 저장할 수 있어요
      "
3877,궤도에오르다,"

페이스북으로 계속하기


카카오톡으로 계속하기


Apple로 계속하기

"
3878,궤도에오르다,"
Mangoplate

"
3879,궤도에오르다,
3880,궤도에오르다,"
            translation missing: ko.app_download_layer.description
          "
3881,궤도에오르다,* IOS 버전은 준비 중입니다.
3882,궤도에오르다,* Android 버전은 준비 중입니다.
3883,고래바,"
                    사진 더보기
                    
"
3884,고래바,"
                    사진 더보기
                    
"
3885,고래바,"
                    사진 더보기
                    
"
3886,고래바,"
                    사진 더보기
                    
"
3887,고래바,"
                    사진 더보기
                    
"
3888,고래바,
3889,고래바,가고싶다
3890,고래바,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
3891,고래바,"
                업데이트
                : 2021. 8. 31
              "
3892,고래바,"
          고래바에 오랜만에 방문했습니다. 새로운 메뉴들과 계절감있는 메뉴들이 계속해서 업데이트가 되어왔나봐요. 고수가 듬뿍 올라간 고수 오소리감투 샐러드는 제목부터 호불호가 갈리겠지만 오소리감투에 오일양념을 한 것이 고수랑 생각보다 꽤 잘 어울리네요. 웰컴드링크로 주신 화이트 와인과도 잘 어울렸습니다. 최애 안주인 안키모 빠떼에 바게트는 어떤 술과 같이 먹어도 매력적이구요. 시그니처인 생참치 김밥도 빠지면 섭합니다. 여름엔 타파통 수박이라고 기본 수박메뉴가 있는데 수박과 술은 왜이리도 잘 어울리는지요… 과음했습니다.
        "
3893,고래바,"
          짧고 굵고 힙하게 즐기고 싶다면 이곳!처음에 무슨 주택가에 와인바가 있다는거지? 하고 들어갔는데 사람이 정말 바글바글해서 깜짝 놀랐다.와인+안주는 정말 가성비가 엄청나고 외부 음식도 반입이 가능한 곳이지만, 무턱대고 오래 머물다가는 자릿세가 어마무시하니 주의!우리는 생참치김밥2+계란말이+떡볶이를 시켰고 오렌지 내 츄럴 와인을 골랐다!생참치김밥에 진짜 참치가 들어있어서 엄청 맛있다! 거의 모든 테이블이 저걸 먹는듯ㅋㅋㅋ떡볶이는 시킨 메뉴들 중에 가장 평범한 맛. 생각보다 계란말이가 폭신폭신 달달하니 맛있다..!나의 픽 메뉴 호호3인이 2시간정도 머물렀는데 한 10만원정도 나온듯!넘 힙하지만 쪼오금 오래 머무르면 가격이 부담될 수도 있으니 가끔가봐야겠다
        "
3894,고래바,"
          생참치 김밥 / 포르치니버섯과 갈비살 파스타 / 아타랑기 쇼비뇽 블랑
        "
3895,고래바,"
          자릿세를 지불하는 독특한 형식의 와인바. 덕분에 와인 가격이 매우 저렴한데... 죽치고 앉아있어서 결국 조삼모사가 되는 곳. 외부안주 반입이 되는 곳인데 여기 안주가 다 너무 맛있어서 굳이 챙겨올 필요성을 못 느꼈다.. 다만 종이컵 종이접시 나무젓가락이 기본이고 추가는 돈을 내야하는.. 와인잔 변경도 돈을 내야하는.. 가성비 있어보이지만 결국 영수증에 찍히는 돈은 일반 와인바랑 비슷하거나 더 나오는 곳이므로 참고
        "
3896,고래바,"
          합리적인 와인 가격과 맛있는 안주가 매력적인 고래바.활기찬(시끄러운) 분위기. 종이접시, 나무젓가락, 500미리 생수병, 웰컴 와인까지 순식간에 두둥등장 하니 재미있어요. 카카오톡 플친으로 메뉴판과 와인 구경하고, 생참치김밥, 고래떡볶이, 새우로제빠네 주문. 생참치김밥은 고소하고 살살 녹는 참치에 달달한 계란말이까지 더해지고, 와사비 듬뿍 올려 먹으니 맛 없을 수가 없어요. 고래떡볶이는 엄청난 인기에 밀키트로도 출시되었다는 떡볶입니다. 통통한 쌀떡은 쫀득을 넘어 쫜득할 지경. 얇은 어묵, 깔끔하고 시원한 국물까지. 밀떡파도 인정하게 만드는 .. 기교없이 맛있는 떡볶이였어요!새우로제빠네는 바삭하고 쫄깃한 빠네 빵 안에 새우 감자 등등이 들어있고, 꾸덕한 로제소스가 은근히 자극적이어서 구미가 당깁니다. 탱글한 새우는 물론 맛있고, 소스가 가득 묻은 컬리플라워도 맛있었어요.와인은 마인클랑 바이싸 물아착 ! 첫 오렌지, 게다가 스파클링. 추천해주신 건데 시트러스 계열, 특히 자몽 향미가 진해서 상큼했어요. 만족! 웰컴 와인은 레드/화이트 둘다 맛보았는데 레드는 플럼, 화이트는 라임같은 느낌. 단점은.. 재미있게 놀다보면 불어나는 자릿세. 안주랑 보틀 값만 보면 이 가격이 가능한가 마진이 남나 싶지만 이것저것 계산해보면 막 저렴하지도 않아요. ㅋㅋ콜키지가 매우 합리적(인당 2500). 그리고 외부 음식 반입됩니다. 웨이팅 하면서 산 뺑드램 깜빠뉴 한조각 먹었어요 후후웨이팅은 한시간 반 가량 했어요. 걸어두고 근처 와인샵 구경하면 지루하진 않더라고요. 컨벤셔널 와인샵은 그 유명한 새마을 구판장, 내추럴은 소미네가 들를만한 거리에 있습니다.매력있는 곳이라 언젠간 다시 가지 않을까 싶네요. (사실 한움큼 담아주는 안키모 파테 먹고싶음..)insta: @hhhynie 
        "
3897,고래바,"
                              건대/군자/광진
                              -
                              기타 중식
                            "
3898,고래바,"
                              건대/군자/광진
                              -
                              기타 중식
                            "
3899,고래바,"
                              건대/군자/광진
                              -
                              기타 중식
                            "
3900,고래바,"
                              건대/군자/광진
                              -
                              기타 중식
                            "
3901,고래바,"""분위기 좋은 와인바 총정리"""
3902,고래바,"""세계음식이 다 있다고 할 수 있지."""
3903,고래바,대한민국 먹슐랭 가이드!
3904,고래바,망고플레이트 앱 바로가기
3905,고래바,"

"
3906,고래바,망고플레이트 최신 버전 앱에서사용할 수 있는 기능입니다.
3907,고래바,"
      망고플레이트 최신 버전 앱에서 사용할 수 있는 기능입니다.
    "
3908,고래바,
3909,고래바,리뷰를 삭제하시겠습니까?
3910,고래바,"Eat, Share, Be Happy."
3911,고래바,"

        망고플레이트 페이스북 계정으로 바로가기
      

        망고플레이트 인스타그램 계정으로 바로가기
      
"
3912,고래바,"

          한국어
        

          English
        

          简体中文
        
"
3913,고래바,"
          
          ㈜ 여기어때컴퍼니서울특별시 강남구 봉은사로 479, 479타워 11층대표이사: 정명훈사업자 등록번호: 742-86-00224 [사업자정보확인]통신판매업 신고번호: 2017-서울강남-01779고객센터: 02-565-5988
© 2021 MangoPlate Co., Ltd. All rights reserved.
"
3914,고래바,최근 검색어가 없습니다.
3915,고래바,"
          내가 둘러 본 식당이 이 곳에 순서대로 기록됩니다.
        "
3916,고래바,격하게 가고싶다..
3917,고래바,"
          식당의 ‘별’ 아이콘을 누르면 가고싶은 곳을 쉽게 저장할 수 있습니다.
        "
